Name,AdapterType,Label,MacAddress,MacAddressType,PortGroupName,PortGroupType,DVSwitchName,IPAddress,PrefixLength,DHCP,Connected,StartConnected,AllowGuestControl,Shares,ShareLevel,Status
ESXCloud-Installer,e1000,Network adapter 1,00:50:56:9c:dd:8d,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesx-photon-02,vmxnet3,Network adapter 1,00:50:56:9c:fa:11,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesx-photon-02,vmxnet3,Network adapter 2,00:50:56:9c:d4:44,assigned,photon-tenant,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
logi-dev-node2,vmxnet3,Network adapter 1,00:50:56:9c:7c:22,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
TinyCore-Web-left,e1000,Network adapter 1,00:50:56:9c:94:87,assigned,vxw-dvs-42-virtualwire-27-sid-5008-srs-uno-web-left,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesx-photon-03,vmxnet3,Network adapter 1,00:50:56:9c:a8:73,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesx-photon-03,vmxnet3,Network adapter 2,00:50:56:9c:38:8e,assigned,photon-tenant,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.160.60.27,vmxnet3,Network adapter 1,00:50:56:9c:11:24,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.160.60.27,vmxnet3,Network adapter 2,00:50:56:9c:d0:2f,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
Tiny-App-Right,e1000,Network adapter 1,00:50:56:9c:09:5c,assigned,vxw-dvs-42-virtualwire-28-sid-5009-srs-uno-app-right,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.25,vmxnet3,Network adapter 1,00:50:56:9c:75:44,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.25,vmxnet3,Network adapter 2,00:50:56:9c:64:75,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
ucspe01,pcnet32,Network adapter 1,00:50:56:9c:3f:bc,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
ucspe01,pcnet32,Network adapter 2,00:50:56:9c:55:2b,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
ucspe01,pcnet32,Network adapter 3,00:50:56:9c:1b:2d,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
logi-dev-node3,vmxnet3,Network adapter 1,00:50:56:9c:b0:07,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.60.29,vmxnet3,Network adapter 1,00:50:56:9c:75:03,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.60.29,vmxnet3,Network adapter 2,00:50:56:9c:29:3c,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
New Virtual Machine,vmxnet3,Network adapter 1,00:50:56:9c:97:18,assigned,101-csr-zone01,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.60.26,vmxnet3,Network adapter 1,00:50:56:9c:51:ec,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.60.26,vmxnet3,Network adapter 2,00:50:56:9c:bf:50,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.60.28,vmxnet3,Network adapter 1,00:50:56:9c:56:b6,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.60.28,vmxnet3,Network adapter 2,00:50:56:9c:0f:0b,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.176.26,vmxnet3,Network adapter 1,00:50:56:9c:49:c1,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.176.26,vmxnet3,Network adapter 2,00:50:56:9c:b7:db,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.176.24,vmxnet3,Network adapter 1,00:50:56:9c:f7:a6,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.176.24,vmxnet3,Network adapter 2,00:50:56:9c:e9:96,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
TinyCore-App-left,e1000,Network adapter 1,00:50:56:9c:91:9e,assigned,vxw-dvs-42-virtualwire-25-sid-5006-srs-uno-app-left,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.26,vmxnet3,Network adapter 1,00:50:56:9c:ed:8f,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.26,vmxnet3,Network adapter 2,00:50:56:9c:69:65,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.28,vmxnet3,Network adapter 1,00:50:56:9c:4a:ca,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.60.28,vmxnet3,Network adapter 2,00:50:56:9c:00:e5,assigned,S01-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.176.21,vmxnet3,Network adapter 1,00:50:56:9c:44:c8,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.60.176.21,vmxnet3,Network adapter 2,00:50:56:9c:d2:5b,assigned,S02-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesxi-vsan-10.160.176.25,vmxnet3,Network adapter 1,00:50:56:9c:a1:9b,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.25,vmxnet3,Network adapter 2,00:50:56:9c:af:a7,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.60.24,vmxnet3,Network adapter 1,00:50:56:9c:a5:66,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.60.60.24,vmxnet3,Network adapter 2,00:50:56:9c:6d:fb,assigned,S02-HCP-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesx-photon-01,vmxnet3,Network adapter 1,00:50:56:9c:ed:2a,assigned,10-cmi-mgmt,Distributed,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
vesx-photon-01,vmxnet3,Network adapter 2,00:50:56:9c:03:a9,assigned,photon-tenant,Distributed,vds-compute,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
Tiny-DB-Right,e1000,Network adapter 1,00:50:56:9c:ff:ec,assigned,vxw-dvs-42-virtualwire-29-sid-5010-srs-uno-db-right,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
TinyCore-DB-left,e1000,Network adapter 1,00:50:56:9c:ea:ae,assigned,vxw-dvs-42-virtualwire-26-sid-5007-srs-uno-db-left,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.23,vmxnet3,Network adapter 1,00:50:56:9c:d7:75,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
vesxi-vsan-10.160.176.23,vmxnet3,Network adapter 2,00:50:56:9c:bb:3d,assigned,S01-HCM-Mgmt,Distributed,vds-mgmt,"""""","""""","""""",FALSE,TRUE,TRUE,50,normal,untried
